tag,description,category,score,source,posts
#आईपीएल_2026,ipl 2026 अभी भारत में ट्रेंड कर रहा है,समाचार,100,Google News,50000+
#पश्चिम_बंगाल_चुनाव,west bengal election अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#जबलपुर_त्रासदी,jabalpur tragedy अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#इजराइल,israel अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#सुप्रीम_कोर्ट_ने_पवन_खेड़ा_के_खिलाफ_असम_के_सीएम_हिमंत_बिस्वा_सरमा_की_असंसदीय_टिप्पणी_को_हरी_झंडी_दिखा_दी,supreme court flags unparliamentary remarks by assam cm himanta biswa sarma against pawan khera अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
"#हेगसेथ_का_कहना_है_कि_जैसे-जैसे_समय_सीमा_करीब_आती_है,_ईरान_युद्धविराम_कांग्रेस_की_मंजूरी_की_घड़ी_रोक_देता_है",hegseth says iran ceasefire stops the clock for congressional approval as deadline approaches अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#एलपीजी_में_993_रुपये_की_व्यावसायिक_बढ़ोतरी_को_लेकर_कांग्रेस_ने_पीएम_मोदी_पर_निशाना_साधा_और_उन्हें_महंगाई_आदमी_बताया,congress hits out at pm modi over rs 993 commercial lpg hike calls him inflation man अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#बंगाल_चुनाव_परिणाम_पर_सौरव_गांगुली,sourav ganguly on bengal poll outcome अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#जम्मू_ब्रिज_घटना,jammu bridge incident अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
"#2_मई_को_राष्ट्रव्यापी_सेल_प्रसारण_परीक्षण_अलर्ट,_लोगों_को_मोबाइल_फोन_पर_आपातकालीन_अलर्ट_प्राप्त_हो_सकता_है",nationwide cell broadcast test alert on may 2 people may receive emergency alert on mobile phones अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
"#अमेरिका_ने_यूरोपीय_संघ_की_कारों,_ट्रकों_पर_शुल्क_बढ़ाया",us raises tariff on eu cars trucks अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
#चुनाव_आयोग_द्वारा_केंद्रीय_कर्मचारियों_को_मतगणना_पर्यवेक्षक_नियुक्त_करने_के_खिलाफ_तृणमूल_कांग्रेस_सुप्रीम_कोर्ट_पहुंची,trinamool congress moves supreme court against eci appointing central employees as counting supervisors अभी भारत में ट्रेंड कर रहा है,समाचार,50,Google News,25000+
